1	2	277.1
2	1	277.1
1	3	234.2
3	1	234.2
2	21	79.9
21	2	79.9
3	22	272
22	3	272
3	56	223.8
56	3	223.8
4	5	647.7
5	4	647.7
4	6	436.9
6	4	436.9
5	37	920.3
37	5	920.3
5	38	731.3
38	5	731.3
6	34	1189.9
34	6	1189.9
6	39	964.5
39	6	964.5
6	40	505.7
40	6	505.7
7	8	266.2
8	7	266.2
7	9	439.2
9	7	439.2
7	10	554.1
10	7	554.1
8	16	582.5
16	8	582.5
8	20	352.4
20	8	352.4
9	24	159.9
24	9	159.9
10	41	809
41	10	809
10	44	522
44	10	522
11	12	179.2
12	11	179.2
11	13	67.2
13	11	67.2
12	55	136.1
55	12	136.1
12	56	193.4
56	12	193.4
13	24	508
24	13	508
13	29	777.1
29	13	777.1
14	15	500.2
15	14	500.2
14	16	147.4
16	14	147.4
15	34	432.7
34	15	432.7
15	39	425
39	15	425
16	54	653.4
54	16	653.4
17	18	1293.1
18	17	1293.1
17	19	1468
19	17	1468
18	38	1463.4
38	18	1463.4
18	59	279.1
59	18	279.1
19	28	568.3
28	19	568.3
19	37	561.3
37	19	561.3
20	31	295.1
31	20	295.1
20	36	639.2
36	20	639.2
21	42	125.6
42	21	125.6
22	23	336.4
23	22	336.4
23	30	239
30	23	239
23	32	191.2
32	23	191.2
24	31	690.4
31	24	690.4
24	41	131.1
41	24	131.1
25	26	501.6
26	25	501.6
25	27	459.1
27	25	459.1
25	28	165.3
28	25	165.3
26	31	473.8
31	26	473.8
26	45	470.9
45	26	470.9
27	32	107.2
32	27	107.2
29	30	193.2
30	29	193.2
29	31	177.5
31	29	177.5
30	33	294.7
33	30	294.7
33	56	473.6
56	33	473.6
34	35	560
35	34	560
34	36	554
36	34	554
35	45	418.4
45	35	418.4
37	45	314
45	37	314
38	46	700
46	38	700
38	47	1135.7
47	38	1135.7
40	49	222.5
49	40	222.5
42	43	215.6
43	42	215.6
43	55	24.2
55	43	24.2
43	56	199.6
56	43	199.6
44	52	129.8
52	44	129.8
46	47	786
47	46	786
46	48	484.5
48	46	484.5
46	49	495.9
49	46	495.9
47	57	132.6
57	47	132.6
47	58	25.7
58	47	25.7
48	50	223.8
50	48	223.8
48	51	150.7
51	48	150.7
49	50	574.7
50	49	574.7
51	60	447
60	51	447
52	53	397.1
53	52	397.1
53	54	394.1
54	53	394.1
57	59	937.7
59	57	937.7
58	60	77.2
60	58	77.2
